City,Latitude,Longitude
Barcelona,41.385063,2.173404
London,51.507351,-0.127758
Antwerpen,51.219448,4.402464
Paris,48.856613,2.352222
Calgary,51.048615,-114.070847
Albertville,45.6754622,6.3925417
Lillehammer,61.1145451,10.4670073
Los Angeles,34.0536909,-118.242766
Salt Lake City,40.7596198,-111.8867975
Helsinki,60.1674881,24.9427473
Lake Placid,44.279621,-73.979874
Sydney,-33.8698439,151.2082848
Atlanta,33.7489924,-84.3902644
Stockholm,59.3251172,18.0710935
Sochi,43.5854823,39.723109
Nagano,36.1143945,138.0319015
Torino,45.0677551,7.6824892
Beijing,39.906217,116.3912757
Rio de Janeiro,-22.9110137,-43.2093727
Athina,37.9839412,23.7283052
Squaw Valley,36.7402261,-119.246785
Innsbruck,47.2654296,11.3927685
Sarajevo,43.8519774,18.3866868
Mexico City,19.4326296,-99.1331785
Munich,48.1371079,11.5753822
Seoul,37.5666791,126.9782914
Berlin,52.5170365,13.3888599
Oslo,59.9133301,10.7389701
Cortina d'Ampezzo,46.5383332,12.1373506
Melbourne,-37.8142176,144.9631608
Roma,41.8933203,12.4829321
Amsterdam,52.3727598,4.8936041
Montreal,45.5031824,-73.5698065
Moskva,55.7504461,37.6174943
Tokyo,35.6828387,139.7594549
Vancouver,49.2608724,-123.113952
Grenoble,45.1875602,5.7357819
Sapporo,43.061936,141.3542924
Chamonix,45.9246705,6.8727506
St. Louis,38.6319657,-90.2428756
Sankt Moritz,46.4978958,9.8392428
Garmisch-Partenkirchen,47.4923741,11.0962815